,Name,Album,Artist,Release_date,Release_year,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
40,Heartlines,Heartlines,Broods,10/06/2016,2016,197000,0,0.47,0.659,0.677,0,0.0615,0.273,-4.129,0.0763,90.069,4
41,Final Song,Final Song,MØ,13/05/2016,2016,235826,67,0.014,0.695,0.672,8.44E-05,0.0756,0.245,-6.109,0.0345,104.988,4
42,Satan,Satan,D.D Dumbo,18/05/2016,2016,275893,0,0.28,0.797,0.685,0.496,0.224,0.682,-7.775,0.0922,119.984,4
43,Dang! (feat. Anderson .Paak),The Divine Feminine,Mac Miller,16/09/2016,2016,305350,72,0.00826,0.836,0.67,0.000355,0.0837,0.556,-6.907,0.23,107.018,4
44,Walrus,Walrus,D.D Dumbo,17/08/2016,2016,190986,0,0.301,0.611,0.666,0.121,0.122,0.854,-6.777,0.0631,175.911,4
45,Creepin,Creepin,Kingswood,12/10/2016,2016,226000,0,0.0473,0.397,0.593,0,0.139,0.393,-7.369,0.0372,175.424,4
46,Higher,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,19/02/2016,2016,269720,53,0.281,0.737,0.669,0.0151,0.11,0.621,-9.127,0.0483,111.99,4
47,Strange Diseases,Strange Diseases,Gang of Youths,16/05/2016,2016,199586,20,0.00296,0.521,0.769,0.000871,0.508,0.417,-6.143,0.0378,120.959,4
48,Outcast at Last,Outcast at Last,Sticky Fingers,31/03/2016,2016,154149,31,5.93E-05,0.441,0.905,0.0215,0.223,0.752,-3.666,0.0743,183.981,4
49,Blanket,Blanket,Violent Soho,11/07/2016,2016,228573,0,0.00111,0.476,0.912,0.0051,0.601,0.48,-5.101,0.0423,159.956,4
50,Bored To Death,Bored To Death,blink-182,27/04/2016,2016,235613,0,0.00575,0.502,0.966,1.56E-06,0.117,0.638,-3.876,0.0946,159.948,4
51,Say a Prayer For Me,Say a Prayer For Me,RÜFÜS DU SOL,13/01/2016,2016,277324,0,0.227,0.821,0.675,0.019,0.0765,0.551,-6.661,0.0709,116.014,4
52,Twice,Twice,Catfish and the Bottlemen,20/05/2016,2016,196946,0,0.000211,0.409,0.793,0.0338,0.414,0.313,-4.603,0.0772,136.631,4
53,Girlie Bits,Girlie Bits,Ali Barter,30/08/2016,2016,191780,3,0.00297,0.457,0.767,0.0146,0.126,0.453,-5.644,0.0356,153.084,4
54,Solo,Blonde,Frank Ocean,20/08/2016,2016,257380,68,0.849,0.444,0.287,2.82E-06,0.161,0.246,-10.631,0.0375,124.027,4
55,Drinkee,Drinkee,Sofi Tukker,2/10/2015,2016,297507,0,0.0557,0.773,0.663,0.61,0.229,0.324,-8.101,0.0496,115.002,4
56,Gamma Knife,Gamma Knife,King Gizzard & The Lizard Wizard,7/03/2016,2016,261463,0,0.00106,0.326,0.915,0.484,0.401,0.544,-5.269,0.045,104.203,3
57,Marinade,Honey Bones,DOPE LEMON,10/06/2016,2016,237961,0,0.242,0.677,0.74,0.0146,0.105,0.679,-6.528,0.0243,110.193,4
58,Life Itself,Life Itself,Glass Animals,16/05/2016,2016,280415,0,0.0169,0.696,0.62,0.176,0.349,0.674,-8.346,0.0346,111.994,4
59,Alaska,Alaska,Maggie Rogers,17/06/2016,2016,188717,0,0.416,0.853,0.353,0.00614,0.0987,0.141,-12.146,0.043,103.989,4
60,All Fucked Up,This Could Be Heartbreak,The Amity Affliction,12/08/2016,2016,229760,55,0.0338,0.511,0.876,0,0.645,0.291,-4.287,0.0337,142.056,4
61,I Bring the Weather with Me,I Bring the Weather with Me,The Amity Affliction,19/05/2016,2016,276413,27,0.0153,0.283,0.973,0,0.356,0.0962,-3.359,0.288,173.848,4
62,Next To You (feat. Savoi),Next To You (feat. Savoi),L D R U,22/04/2016,2016,176117,34,0.0013,0.443,0.882,0,0.13,0.43,-4.623,0.068,170.123,4
63,So Sentimental,WACO,Violent Soho,18/03/2016,2016,252226,0,0.0052,0.567,0.846,0.13,0.111,0.684,-5.546,0.0285,126.028,4
